City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Les Escoumins,CA,48.1111,-69.0236,24.15,90,76,5.75,broken clouds
179,Ponta Do Sol,PT,32.6667,-17.1,66.83,63,67,7.94,broken clouds
180,Giyani,ZA,-23.3025,30.7187,82.69,32,2,1.99,clear sky
181,Naziya,RU,59.8,31.3833,19.44,1,100,9.04,overcast clouds
182,Teeli,RU,51.0333,90.2333,-3.01,91,71,1.97,broken clouds
183,Shelburne,CA,44.0787,-80.2041,25.75,78,100,17.83,overcast clouds
184,Anuradhapura,LK,8.3565,80.4173,70.93,95,100,1.97,overcast clouds
185,Port Lincoln,AU,-34.7333,135.8667,56.88,61,7,20.65,clear sky
186,Haines Junction,CA,60.7522,-137.5108,10.35,85,100,0.0,overcast clouds
187,Upernavik,GL,72.7868,-56.1549,14.59,87,100,10.0,overcast clouds
188,Macusani,PE,-14.0833,-70.4333,48.33,58,79,12.86,broken clouds
189,Newport,GB,51.5877,-2.9984,48.74,84,100,9.28,overcast clouds
190,Te Anau,NZ,-45.4167,167.7167,59.2,80,100,0.83,overcast clouds
191,Krasnogorodsk,RU,56.8357,28.2822,24.04,96,100,5.57,light snow
192,Siderno,IT,38.2779,16.302,67.33,82,90,8.21,overcast clouds
193,Vryheid,ZA,-27.7695,30.7917,57.07,86,100,8.81,overcast clouds
194,Souillac,MU,-20.5167,57.5167,71.98,78,40,2.3,scattered clouds
195,Iqaluit,CA,63.7506,-68.5145,-5.31,70,40,16.11,fog
196,Parkes,AU,-33.1333,148.1833,60.49,72,0,14.74,clear sky
197,Hay River,CA,60.8156,-115.7999,22.96,53,75,5.75,broken clouds
198,Cesena,IT,44.1391,12.2432,53.42,94,75,9.22,light rain
199,Sarh,TD,9.1429,18.3923,71.51,68,0,0.0,clear sky
200,Plyussa,RU,58.4308,29.3654,22.39,89,100,8.32,overcast clouds
201,Conde,BR,-7.2597,-34.9075,80.06,74,20,10.36,few clouds
202,Curup,ID,-3.4667,102.5333,65.32,97,95,1.66,overcast clouds
203,Santa Maria,BR,-29.6842,-53.8069,92.5,24,0,12.66,clear sky
