City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Walvis Bay,NA,2022-11-19 18:10:06,-22.9575,14.5053,61.09,67,90,20.2
240,Sioux Lookout,CA,2022-11-19 18:10:07,50.1001,-91.917,5.07,72,75,12.66
241,Benesov Nad Ploucnici,CZ,2022-11-19 18:10:07,50.7416,14.3124,29.08,90,21,3.0
242,Goderich,CA,2022-11-19 18:10:08,43.7501,-81.7165,29.91,78,100,26.57
243,Fortuna,US,2022-11-19 18:10:08,40.5982,-124.1573,55.74,70,0,10.36
244,Sampit,ID,2022-11-19 18:10:09,-2.5333,112.95,73.36,99,100,1.68
245,Menomonie,US,2022-11-19 18:10:09,44.8755,-91.9193,19.78,86,100,17.27
246,Mackay,AU,2022-11-19 18:10:10,-21.15,149.2,79.68,83,40,14.65
247,Soyo,AO,2022-11-19 18:10:10,-6.1349,12.3689,78.51,78,83,9.84
248,Port Hardy,CA,2022-11-19 18:05:45,50.6996,-127.4199,41.77,53,100,6.49
249,Kholm,RU,2022-11-19 18:10:11,59.2667,32.85,22.35,76,58,7.87
250,Bac Lieu,VN,2022-11-19 18:10:11,9.285,105.7244,74.62,90,100,5.79
251,Aitape,PG,2022-11-19 18:10:12,-3.1374,142.3475,77.5,89,96,3.09
252,Mount Gambier,AU,2022-11-19 18:10:12,-37.8333,140.7667,48.6,90,84,13.0
253,Flin Flon,CA,2022-11-19 18:10:13,54.7682,-101.865,13.03,90,100,9.4
254,Esperance,AU,2022-11-19 18:10:13,-33.8667,121.9,57.11,73,47,16.8
255,Zomin,UZ,2022-11-19 18:10:14,39.9606,68.3958,50.0,55,8,6.22
256,Santa Cruz Del Sur,CU,2022-11-19 18:10:15,20.7147,-77.9956,86.32,59,76,12.8
257,San Patricio,US,2022-11-19 18:10:15,28.017,-97.5169,49.87,85,100,19.98
258,Tirumullaivasal,IN,2022-11-19 18:10:16,11.2333,79.8333,77.4,72,100,14.03
259,Nishihara,JP,2022-11-19 18:10:16,26.1842,127.7558,73.45,91,40,2.3
260,Luz,BR,2022-11-19 18:10:17,-19.8014,-45.6856,83.14,45,81,5.46
261,Matara,LK,2022-11-19 18:02:49,5.9485,80.5353,75.51,87,89,4.99
262,Vetovo,BG,2022-11-19 18:10:18,43.7,26.2667,57.29,56,81,8.55
263,Tual,ID,2022-11-19 18:10:18,-5.6667,132.75,84.24,69,100,4.23
